id,nume,brand,categorie,pret,tip_ten,subton,nuanta,finish,ocazie,acoperire,ingrediente_cheie,vegan,cruelty_free,rating,descriere,tip_produs,contrast,baza,origine,probleme,fungal_acne_safe,suited_eye_color,suited_hair_color,activ
1,Fond de ten Hidratant Luminos,L'Oreal,Fond de ten,65.0,uscat|normal|sensibil,cald|neutru,deschis,luminos,zi|seara,medie,acid hialuronic|glicerina|vitamina E,Nu,Nu,4.3,Fond cu efect de hidratare si stralucire naturala,makeup,toate,toate,,,,toate,toate,1
2,Fond de ten Matifiant 24h,Maybelline,Fond de ten,55.0,gras|mixt,rece|neutru,mediu,mat,zi|seara|eveniment,medie,niacinamida|acid salicilic,Nu,Nu,4.1,Acoperire de lunga durata cu finisaj mat,makeup,toate,toate,,,,toate,toate,1
3,Fond de ten Natural Glow,NYX,Fond de ten,70.0,normal|mixt,neutru,inchis,natural,zi,lejera,vitamina E|ulei de jojoba,Da,Da,4.2,Acoperire usoara cu aspect natural al pielii,makeup,toate,toate,,,,toate,toate,1
4,Fond de ten Full Coverage,Estee Lauder,Fond de ten,220.0,toate,toate,deschis,satinat,seara|eveniment,totala,peptide|colagen,Nu,Nu,4.6,Acoperire totala pentru evenimente speciale,makeup,toate,toate,,,,toate,toate,1
5,Fond de ten Mineral,bareMinerals,Fond de ten,180.0,sensibil|uscat,cald,mediu,natural,zi,medie,minerale|SPF,Da,Da,4.4,Formula minerala blanda pentru ten sensibil,makeup,toate,toate,,,,toate,toate,1
6,Fond de ten Skin Tint,Glossier,Fond de ten,130.0,uscat|normal,neutru,mediu,luminos,zi,lejera,acid hialuronic|aloe vera,Da,Da,4.5,Skin tint cu acoperire foarte lejera si glow natural,makeup,toate,toate,,,,toate,toate,1
7,Fond de ten Liquid Touch,Rare Beauty,Fond de ten,170.0,toate,toate,inchis,natural,zi|seara,medie,acid hialuronic|vitamina E,Da,Da,4.7,Acoperire medie construibila cu finisaj natural luminos,makeup,toate,toate,,,,toate,toate,1
8,Fond de ten Born This Way,Too Faced,Fond de ten,200.0,toate,cald,deschis,natural,zi|seara|eveniment,totala,ulei de cocos|acid hialuronic,Da,Da,4.5,Fond de ten cu acoperire totala si efect natural,makeup,toate,toate,,,,toate,toate,1
9,Fond de ten Sheer Glow,NARS,Fond de ten,250.0,toate,rece|neutru,mediu,luminos,zi|seara,medie,vitamina C|vitamina E,Nu,Nu,4.6,Fond luminos cu efect glowy popular printre profesionisti,makeup,toate,toate,,,,toate,toate,1
10,Fond de ten Photo Finish,Catrice,Fond de ten,35.0,gras|mixt,neutru,deschis,mat,zi|eveniment,medie,niacinamida,Da,Da,4.0,Fond accesibil cu finisaj mat ideal pentru fotografie,makeup,toate,toate,,,,toate,toate,1
11,Pudra Translucida,RCMA,Pudra,95.0,gras|mixt,toate,toate,mat,zi|seara,toate,minerale,Da,Nu,4.4,Pudra care fixeaza machiajul fara nuanta,makeup,toate,toate,,,,toate,toate,1
12,Pudra Compacta Iluminatoare,Clinique,Pudra,130.0,uscat|normal,cald,deschis,luminos,zi,toate,minerale|vitamina E,Nu,Nu,4.3,Pudra compacta cu efect de luminozitate,makeup,toate,toate,,,,toate,toate,1
