profile_id,profil,product_id,brand,nume,categorie,nuanta,subton,suited_eye_color,suited_hair_color,is_relevant
1,ten deschis / ochi blue / par blonde,147,Maybelline,Express Brow Satin Duo,Creion de sprancene,blond|brunet,cald|neutru,toate,toate,Y
1,ten deschis / ochi blue / par blonde,357,NYX,Marshmellow Smoothing Primer,Primer,toate,neutru,toate,toate,Y
1,ten deschis / ochi blue / par blonde,14,Charlotte Tilbury,Pudra Setting Soft Focus,Pudra,deschis,toate,toate,toate,Y
1,ten deschis / ochi blue / par blonde,43,Pat McGrath,Paleta Mothership,Fard de pleoape,toate,toate,toate,toate,Y
1,ten deschis / ochi blue / par blonde,42,Anastasia,Paleta Soft Glam,Fard de pleoape,toate,cald,blue|green,toate,Y
1,ten deschis / ochi blue / par blonde,36,Rare Beauty,Fard de Obraz Soft Pinch Liquid,Fard de obraz,toate,toate,toate,toate,Y
1,ten deschis / ochi blue / par blonde,391,Bourjois,Rouge Velvet / Rouge Edition,Ruj,toate,cald|rece|neutru,toate,toate,Y
1,ten deschis / ochi blue / par blonde,20,Charlotte Tilbury,Corector Magic Away,Corector,mediu,cald,toate,toate,N
1,ten deschis / ochi blue / par blonde,30,Fenty Beauty,Luciu de Buze Voluminizator,Luciu de buze,toate,neutru,toate,toate,Y
1,ten deschis / ochi blue / par blonde,74,Peripera,Ink Lasting Cushion,Fond de ten,deschis|mediu,neutru|cald,toate,toate,Y
2,ten deschis / ochi green / par brunette,36,Rare Beauty,Fard de Obraz Soft Pinch Liquid,Fard de obraz,toate,toate,toate,toate,Y
2,ten deschis / ochi green / par brunette,278,Banila Co,Hi Bye Glow Highlighter,Iluminator,toate,cald|rece,toate,toate,Y
2,ten deschis / ochi green / par brunette,30,Fenty Beauty,Luciu de Buze Voluminizator,Luciu de buze,toate,neutru,toate,toate,Y
2,ten deschis / ochi green / par brunette,43,Pat McGrath,Paleta Mothership,Fard de pleoape,toate,toate,toate,toate,Y
2,ten deschis / ochi green / par brunette,267,NYX,Born to Glow Liquid Illuminator,Iluminator,toate,cald|rece|neutru,toate,toate,Y
2,ten deschis / ochi green / par brunette,360,Kiko Milano,Unlimited / Smart Eyeshadow & Face Primer,Primer,toate,neutru,toate,toate,Y
2,ten deschis / ochi green / par brunette,42,Anastasia,Paleta Soft Glam,Fard de pleoape,toate,cald,blue|green,toate,Y
2,ten deschis / ochi green / par brunette,442,L'Oreal Paris,Infaillible Setting Mist,Spray de fixare,toate,neutru,toate,toate,Y
2,ten deschis / ochi green / par brunette,210,Kiko Milano,Soft Shadow / Eyeshadow Palette,Fard de pleoape,toate,cald|rece|neutru,toate,toate,Y
2,ten deschis / ochi green / par brunette,14,Charlotte Tilbury,Pudra Setting Soft Focus,Pudra,deschis,toate,toate,toate,Y
3,ten deschis / ochi blue / par black,132,Peripera,Speedy Skinny Brow,Creion de sprancene,blond|brunet,cald|neutru,toate,toate,Y
3,ten deschis / ochi blue / par black,43,Pat McGrath,Paleta Mothership,Fard de pleoape,toate,toate,toate,toate,Y
3,ten deschis / ochi blue / par black,14,Charlotte Tilbury,Pudra Setting Soft Focus,Pudra,deschis,toate,toate,toate,Y
3,ten deschis / ochi blue / par black,214,Pupa,Vamp! Eyeshadow,Fard de pleoape,toate,cald|rece,toate,toate,Y
3,ten deschis / ochi blue / par black,42,Anastasia,Paleta Soft Glam,Fard de pleoape,toate,cald,blue|green,toate,Y
3,ten deschis / ochi blue / par black,36,Rare Beauty,Fard de Obraz Soft Pinch Liquid,Fard de obraz,toate,toate,toate,toate,Y
3,ten deschis / ochi blue / par black,140,Tony Moly,Easy Touch Auto Eyebrow,Creion de sprancene,blond|brunet,cald,toate,toate,Y
3,ten deschis / ochi blue / par black,30,Fenty Beauty,Luciu de Buze Voluminizator,Luciu de buze,toate,neutru,toate,toate,Y
3,ten deschis / ochi blue / par black,250,CLIO,Prism Air Highlighter,Iluminator,toate,cald|rece,toate,toate,Y
4,ten mediu / ochi brown / par brunette,40,Huda Beauty,Paleta Nuante Reci,Fard de pleoape,toate,rece,green|brown,toate,Y
4,ten mediu / ochi brown / par brunette,455,Klairs,Fundamental Watery Oil Drop / Mist,Spray de fixare,toate,neutru,toate,toate,Y
4,ten mediu / ochi brown / par brunette,50,Maybelline,Mascara Sky High,Mascara,toate,toate,toate,toate,Y
4,ten mediu / ochi brown / par brunette,43,Pat McGrath,Paleta Mothership,Fard de pleoape,toate,toate,toate,toate,Y
4,ten mediu / ochi brown / par brunette,302,Bourjois,Gloss Fabuleux,Luciu de buze,toate,cald|rece,toate,toate,Y
4,ten mediu / ochi brown / par brunette,17,NARS,Corector Full Coverage,Corector,mediu,toate,toate,toate,Y
4,ten mediu / ochi brown / par brunette,205,Essence,The Eyeshadow / 9 in 1 Palette,Fard de pleoape,toate,cald|rece|neutru,toate,toate,Y
4,ten mediu / ochi brown / par brunette,21,Maybelline,Ruj Mat Lichid,Ruj,toate,rece,toate,black|brunette,Y
4,ten mediu / ochi brown / par brunette,30,Fenty Beauty,Luciu de Buze Voluminizator,Luciu de buze,toate,neutru,toate,toate,Y
4,ten mediu / ochi brown / par brunette,36,Rare Beauty,Fard de Obraz Soft Pinch Liquid,Fard de obraz,toate,toate,toate,toate,Y
5,ten mediu / ochi green / par black,30,Fenty Beauty,Luciu de Buze Voluminizator,Luciu de buze,toate,neutru,toate,toate,Y
5,ten mediu / ochi green / par black,33,Dior,Luciu Voluminizator Lip Maximizer,Luciu de buze,toate,rece,toate,black|brunette,Y
